id	qID	time	ip	query	bgp	precision	recall
0		2017-07-20 12:54:31.383290	127.0.0.1		?se10994_247 <http://www.w3.org/2000/01/rdf-schema#label> ?oe10994_247	0	0
0		2017-07-20 12:54:31.398375	127.0.0.1		?se10992_243 <http://dbpedia.org/ontology/director> ?oe10992_243	0	0
0		2017-07-20 12:54:31.413003	127.0.0.1		?se11006_197 <http://www.w3.org/2000/01/rdf-schema#label> ?oe11006_197	0	0
0		2017-07-20 12:54:31.422065	127.0.0.1		?se11007_201 <http://dbpedia.org/ontology/starring> ?oe11007_201	0	0
1	qsim-1	2017-07-20 12:54:29.811093	127.0.0.1	" 
      PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
      PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
      SELECT ?movie ?title ?name WHERE { 
      ?movie dbpedia-owl:starring ?actor . 
      ?actor rdfs:label ""Brad Pitt""@en . 
      ?movie rdfs:label ?title . 
      ?movie dbpedia-owl:director ?director .
      ?director rdfs:label ?name 
      FILTER LANGMATCHES (LANG(?title), ""EN"") 
      FILTER LANGMATCHES (LANG(?name), ""EN"") 
      }
    "	"?se11004_200 <http://www.w3.org/2000/01/rdf-schema#label> ""Brad Pitt""@en.
?se10994_248 <http://dbpedia.org/ontology/starring> ?se11004_200.
?se10994_248 <http://www.w3.org/2000/01/rdf-schema#label> ?oe10992_244.
?se10994_248 <http://dbpedia.org/ontology/director> ?oe10992_245.
?oe10992_245 <http://www.w3.org/2000/01/rdf-schema#label> ?oe11006_200"	1.0	1.0
0		2017-07-20 12:58:01.204469	127.0.0.1		?se10996_240 <http://dbpedia.org/ontology/director> ?oe10996_240	0	0
0		2017-07-20 12:58:01.216552	127.0.0.1		?se10999_220 <http://www.w3.org/2000/01/rdf-schema#label> ?oe10999_220	0	0
0		2017-07-20 12:58:01.228991	127.0.0.1		?se11001_243 <http://www.w3.org/2000/01/rdf-schema#label> ?oe11001_243	0	0
0		2017-07-20 12:58:01.245300	127.0.0.1		?se11005_197 <http://dbpedia.org/ontology/starring> ?oe11005_197	0	0
0		2017-07-20 12:58:02.252618	127.0.0.1		"?se10995_226 <http://xmlns.com/foaf/0.1/name> ""Anne De Paepe"""	0	0
0		2017-07-20 12:58:02.253818	127.0.0.1		?se10998_223 <http://purl.org/dc/terms/creator> ?oe10998_223	0	0
0		2017-07-20 12:58:02.255140	127.0.0.1		?se10997_222 <http://lib.ugent.be/classification/classification/classification> ?oe10997_222	0	0
0		2017-07-20 12:58:03.114751	127.0.0.1		?se11003_221 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Airport>	0	0
0		2017-07-20 12:58:04.165932	127.0.0.1		?se11007_225 <http://dbpedia.org/ontology/populationTotal> ?oe11007_225	0	0
0		2017-07-20 12:58:04.417710	127.0.0.1		"?se10994_305 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/class/yago/AncientCities>.
?se10994_305 <http://dbpedia.org/ontology/populationTotal> ?oe10992_299.
?se10994_305 <http://dbpedia.org/ontology/populationMetro> ?oe10994_308"	0	0
0		2017-07-20 12:58:05.396953	127.0.0.1		?se11005_222 <http://www.w3.org/2000/01/rdf-schema#label> ?oe11005_222	0	0
0		2017-07-20 12:58:05.417414	127.0.0.1		?se11002_220 <http://dbpedia.org/ontology/birthPlace> ?oe11002_220	0	0
0		2017-07-20 12:58:05.381904	127.0.0.1		?se10996_265 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>	0	0
0		2017-07-20 12:58:05.858911	127.0.0.1		?se11005_265 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>	0	0
0		2017-07-20 12:58:05.881785	127.0.0.1		?se11002_259 <http://www.w3.org/2000/01/rdf-schema#label> ?oe11002_259	0	0
2	qsim-1	2017-07-20 12:58:00.893178	127.0.0.1	" 
      PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
      PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
      SELECT ?movie ?title ?name WHERE { 
      ?movie dbpedia-owl:starring ?actor . 
      ?actor rdfs:label ""Brad Pitt""@en . 
      ?movie rdfs:label ?title . 
      ?movie dbpedia-owl:director ?director .
      ?director rdfs:label ?name 
      FILTER LANGMATCHES (LANG(?title), ""EN"") 
      FILTER LANGMATCHES (LANG(?name), ""EN"") 
      }
    "	"?se11000_246 <http://www.w3.org/2000/01/rdf-schema#label> ""Brad Pitt""@en.
?se11001_244 <http://dbpedia.org/ontology/starring> ?se11000_246.
?se11001_244 <http://www.w3.org/2000/01/rdf-schema#label> ?oe10996_241.
?se11001_244 <http://dbpedia.org/ontology/director> ?oe10999_222.
?oe10999_222 <http://www.w3.org/2000/01/rdf-schema#label> ?oe10999_223"	1.0	1.0
3	qsim-2	2017-07-20 12:58:01.969880	127.0.0.1	" 
      PREFIX ugent: <http://lib.ugent.be/classification/classification/> 
      PREFIX dc:  <http://purl.org/dc/terms/> 
      PREFIX foaf:  <http://xmlns.com/foaf/0.1/>
      SELECT ?title ?classification WHERE { 
      ?author foaf:name ""Anne De Paepe"" . 
      ?publication dc:creator ?author . 
      ?publication dc:title ?title . 
      ?publication ugent:classification ?classification 
      }
    "	?se11002_219 <http://purl.org/dc/terms/title> ?oe11002_219	1.0	0.25
4	qsim-3	2017-07-20 12:58:02.816052	127.0.0.1	"
      PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
      PREFIX dbpedia: <http://dbpedia.org/resource/> 
      PREFIX dbpprop: <http://dbpedia.org/property/>    
      SELECT DISTINCT ?entity WHERE {
      ?entity a dbpedia-owl:Airport .
      ?entity dbpprop:cityServed dbpedia:Italy
      }
    "	"?se10993_224 <http://dbpedia.org/property/cityServed> <http://dbpedia.org/resource/Italy>.
?se10993_224 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Airport>"	1.0	1.0
5	qsim-4	2017-07-20 12:58:03.839371	127.0.0.1	"
      PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
      PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
      PREFIX dbpclass: <http://dbpedia.org/class/yago/>
      SELECT * WHERE { 
      ?city rdf:type dbpclass:AncientCities . 
      ?city dbpedia-owl:populationTotal ?popTotal . 
      OPTIONAL { ?city dbpedia-owl:populationMetro ?popMetro} 
      FILTER (?popTotal > 50000) 
      }
      ORDER BY DESC(?popTotal) 
    "	"?se10994_274 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/class/yago/AncientCities>.
?se10994_274 <http://dbpedia.org/ontology/populationTotal> ?oe10994_275.
?se10994_274 <http://dbpedia.org/ontology/populationMetro> ?oe11007_230"	1.0	1.0
6	qsim-5	2017-07-20 12:58:05.067392	127.0.0.1	"
      PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
      PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
      PREFIX dbpprop: <http://dbpedia.org/property/>
      SELECT ?name ?deathDate WHERE { 
      ?person a dbpedia-owl:Artist . 
      ?person rdfs:label ?name . 
      ?person dbpedia-owl:birthPlace ?place . 
      ?place rdfs:label ""York""@en . 
      OPTIONAL {?person dbpprop:dateOfDeath ?deathDate } 
      FILTER LANGMATCHES (LANG(?name),""EN"") 
      }
    "	"?se10999_245 <http://www.w3.org/2000/01/rdf-schema#label> ""York""@en.
?se11005_223 <http://dbpedia.org/ontology/birthPlace> ?se10999_245.
?se11005_223 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>.
?se11005_223 <http://www.w3.org/2000/01/rdf-schema#label> ?oe11002_223.
?se11005_223 <http://dbpedia.org/property/dateOfDeath> ?oe10996_268"	1.0	1.0
